t,S,,E,,I,,R,,Date,Actual-Confirmed,
50,"3,303,788.49","-1,394,636.75","6,826,645.64","489,301.93","2,334,519.56","355,648.38","2,535,048.31",5.496.864.403,21-Apr-20,,
51,"2,146,874.66","-1,156,913.83","7,008,324.38","181,678.73","2,661,277.00","326,757.44","3,183,525.97",6.484.776.558,22-Apr-20,,
52,"1,289,860.44","-857,014.22","6,864,149.40","-144,174.98","2,923,222.58","261,945.59","3,922,769.58",7.392.436.102,23-Apr-20,,
53,"724,278.06","-565,582.37","6,449,139.00","-415,010.40","3,091,809.08","168,586.50","4,734,775.85",8.120.062.731,24-Apr-20,,
54,"388,378.64","-335,899.42","5,863,732.86","-585,406.15","3,154,278.80","62,469.72","5,593,611.71",8.588.358.561,25-Apr-20,,
55,"204,620.46","-183,758.18","5,209,814.91","-653,917.95","3,115,766.37","-38,512.43","6,469,800.26",8.761.885.549,26-Apr-20,,
56,"108,988.03","-95,632.43","4,561,188.07","-648,626.84","2,994,534.98","-121,231.38","7,335,290.92",865.490.657,27-Apr-20,,
57,"60,032.76","-48,955.27","3,958,545.04","-602,643.03","2,814,318.00","-180,216.98","8,167,106.19",8.318.152.725,28-Apr-20,,
58,"34,690.07","-25,342.69","3,418,381.30","-540,163.74","2,598,069.44","-216,248.57","8,948,861.19",7.817.550.012,29-Apr-20,,
59,"21,170.99","-13,519.08","2,943,560.20","-474,821.11","2,364,723.67","-233,345.77","9,670,547.15",721.685.955,30-Apr-20,,
60,"13,661.46","-7,509.53","2,530,561.13","-412,999.07","2,128,364.58","-236,359.09","10,327,414.83",6.568.676.858,01-May-20,,
